t,o,judge
2016-01-01T00:00:00Z,26.3575,0
2016-01-01T00:30:00Z,26.3525,0
2016-01-04T09:00:00Z,26.3625,0
2016-01-04T09:30:00Z,25.9275,0
2016-01-04T10:00:00Z,25.8875,0
2016-01-04T10:30:00Z,25.925,0
2016-01-04T11:00:00Z,25.9225,0
2016-01-04T11:30:00Z,25.8475,0
2016-01-04T12:00:00Z,25.75,0
2016-01-04T12:30:00Z,25.795,0
2016-01-04T13:00:00Z,25.825,0
2016-01-04T13:30:00Z,25.81,0
2016-01-04T14:00:00Z,25.75,0
2016-01-04T14:30:00Z,25.6525,0
2016-01-04T15:00:00Z,25.67,0
2016-01-04T15:30:00Z,25.821525,0
2016-01-04T16:00:00Z,25.8325,0
2016-01-04T16:30:00Z,25.855,0
2016-01-04T17:00:00Z,25.96,0
2016-01-04T17:30:00Z,25.96875,0
2016-01-04T18:00:00Z,26.195,0
2016-01-04T18:30:00Z,26.165,0
2016-01-04T19:00:00Z,26.16,0
2016-01-04T19:30:00Z,26.305,0
2016-01-04T20:00:00Z,26.1875,0
2016-01-04T20:30:00Z,26.0125,0
2016-01-04T21:00:00Z,26.3375,0
2016-01-04T21:30:00Z,26.39,0
2016-01-04T22:00:00Z,26.3825,0
2016-01-04T22:30:00Z,26.387525,0
2016-01-04T23:00:00Z,26.4175,0
2016-01-04T23:30:00Z,26.425,0
2016-01-05T00:00:00Z,26.435,0
2016-01-05T00:30:00Z,26.4275,0
2016-01-05T09:00:00Z,26.37,0
2016-01-05T09:30:00Z,26.3175,0
2016-01-05T10:00:00Z,26.3075,0
2016-01-05T10:30:00Z,26.25,0
2016-01-05T11:00:00Z,26.285,0
2016-01-05T11:30:00Z,26.28,0
2016-01-05T12:00:00Z,26.2625,0
2016-01-05T12:30:00Z,26.2525,0
2016-01-05T13:00:00Z,26.2475,0
2016-01-05T13:30:00Z,26.3275,0
2016-01-05T14:00:00Z,26.35,0
2016-01-05T14:30:00Z,26.4375,0
2016-01-05T15:00:00Z,26.03,0
2016-01-05T15:30:00Z,26.0517,0
2016-01-05T16:00:00Z,26.12375,0
2016-01-05T16:30:00Z,25.9825,0
2016-01-05T17:00:00Z,26.02375,0
2016-01-05T17:30:00Z,25.775,0
2016-01-05T18:00:00Z,25.76,0
2016-01-05T18:30:00Z,25.75875,0
2016-01-05T19:00:00Z,25.87125,0
2016-01-05T19:30:00Z,25.8875,0
2016-01-05T20:00:00Z,25.75,0
2016-01-05T20:30:00Z,25.7025,0
2016-01-05T21:00:00Z,25.6775,0
2016-01-05T21:30:00Z,25.6875,0
2016-01-05T22:00:00Z,25.6275,0
2016-01-05T22:30:00Z,25.56,0
2016-01-05T23:00:00Z,25.5925,0
2016-01-05T23:30:00Z,25.595,0
2016-01-06T00:00:00Z,25.595,0
2016-01-06T00:30:00Z,25.575,0
2016-01-06T09:00:00Z,25.56,0
2016-01-06T09:30:00Z,25.2675,0
2016-01-06T10:00:00Z,25.1875,0
2016-01-06T10:30:00Z,24.95,0
2016-01-06T11:00:00Z,24.9975,0
2016-01-06T11:30:00Z,25.05,0
2016-01-06T12:00:00Z,25.0625,0
2016-01-06T12:30:00Z,25.1025,0
2016-01-06T13:00:00Z,25.05,0
2016-01-06T13:30:00Z,25.0975,0
2016-01-06T14:00:00Z,25.1675,0
2016-01-06T14:30:00Z,25.14,0
2016-01-06T15:00:00Z,25.3475,0
2016-01-06T15:30:00Z,25.5875,0
2016-01-06T16:00:00Z,25.3775,0
2016-01-06T16:30:00Z,25.47,0
2016-01-06T17:00:00Z,25.29625,0
2016-01-06T17:30:00Z,25.1675,0
2016-01-06T18:00:00Z,25.0925,0
2016-01-06T18:30:00Z,25.14875,0
2016-01-06T19:00:00Z,25.075,0
2016-01-06T19:30:00Z,25.1475,0
2016-01-06T20:00:00Z,25.0275,0
2016-01-06T20:30:00Z,25.0625,0
2016-01-06T21:00:00Z,25.175,0
2016-01-06T21:30:00Z,25.2,0
2016-01-06T22:00:00Z,25.21,0
2016-01-06T22:30:00Z,25.195,0
2016-01-06T23:00:00Z,25.215,0
2016-01-06T23:30:00Z,25.2,0
2016-01-07T00:00:00Z,25.215,0
2016-01-07T00:30:00Z,25.225,0
2016-01-07T09:00:00Z,23.9975,0
2016-01-07T09:30:00Z,24.175,0
2016-01-07T10:00:00Z,24.39,0
2016-01-07T10:30:00Z,24.3025,0
2016-01-07T11:00:00Z,24.375,0
2016-01-07T11:30:00Z,24.4375,0
2016-01-07T12:00:00Z,24.35,0
2016-01-07T12:30:00Z,24.47,0
2016-01-07T13:00:00Z,24.485,0
2016-01-07T13:30:00Z,24.495,0
2016-01-07T14:00:00Z,24.7,0
2016-01-07T14:30:00Z,24.6575,0
