train_loss,epoch,step,val_loss,train_avg_loss,val_avg_loss
0.0013052792055532336,0,49,,,
,0,74,0.0012894946848973632,0.02825591154396534,0.10618064552545547
0.0007472261786460876,1,99,,,
0.16214774549007416,1,149,,,
,1,149,0.004383723717182875,0.0027778451330959797,0.004381333943456411
0.000479317968711257,2,199,,,
,2,224,0.005631976295262575,0.004257794935256243,0.005624154582619667
0.0007766967173665762,3,249,,,
0.007591309957206249,3,299,,,
,3,299,0.0004953303723596036,0.0013939939672127366,0.0004916239995509386
0.0002366670814808458,4,349,,,
,4,374,0.0005190817755647004,0.0005245264619588852,0.00051448296289891
